




[-178.38513548],[-24.18270714],[7.4095275]
[-174.42107257],[-17.26512494],[7.27082315]
[-173.65148307],[-15.44882971],[8.14330834]
[-175.73886283],[-20.74313446],[8.01574492]
[-175.9362204],[-20.77993569],[7.81735412]
[-175.91292634],[-21.47934907],[7.74102019]
[-174.51433594],[-18.4918256],[7.99509686]
[-171.61108461],[-21.64687812],[7.42141657]
[-172.78286509],[-20.99751403],[8.22480999]
[-172.95090622],[-21.94429329],[8.16790898]
[-173.87349637],[-20.25895155],[8.73669147]
[-171.57008031],[-22.00412616],[8.64332909]
[-171.81664953],[-22.83760832],[8.27813872]
[-172.84375331],[-20.31698093],[9.49469725]
[-172.8186665],[-21.45999592],[8.96123709]
[-172.86668122],[-22.48592512],[8.60464408]
[-174.02002126],[-22.55322832],[9.54055992]
[-172.95210859],[-23.41421464],[9.32741447]
[-173.41077224],[-22.52861401],[9.1831976]
[-174.88186911],[-24.30945139],[9.86622678]
[-175.15480024],[-25.71402786],[10.26296253]
[-175.82668575],[-23.48593108],[11.09357474]
[-174.49758204],[-24.41542944],[11.20725266]
[-177.04717479],[-24.1970986],[12.17607148]
[-175.63394282],[-26.62115825],[12.56791477]
[-173.25468991],[-26.40870229],[12.4838599]
[-174.37414897],[-26.17046488],[13.47482643]
[-173.37266486],[-29.50934541],[11.68279591]
[-175.937706],[-26.77070479],[14.01473768]
[-173.07261451],[-30.11742973],[12.62525455]
[-174.32835654],[-29.33738911],[13.54713718]
[-172.84626515],[-29.46665087],[12.7936806]
[-175.88525078],[-28.91352313],[14.79916351]
[-173.95750893],[-28.85241794],[13.7407638]
[-178.55163114],[-26.79114913],[14.93980051]
[-177.98373467],[-27.01052337],[14.88154289]
[-174.50318478],[-28.4519287],[13.06939308]
[-177.47553448],[-26.56674743],[13.75078537]
[-174.42794409],[-27.43430461],[13.59972983]
[-173.92639905],[-27.83658644],[12.97941208]
[-173.93220855],[-26.46195186],[13.05234665]
[-171.95208883],[-27.38688799],[12.79677411]
[-176.9763901],[-29.19756773],[13.01236521]
[-170.36719687],[-28.72746649],[11.65333713]
[-171.66694724],[-27.25986704],[12.82973317]
[-172.6127392],[-27.01010062],[12.33852576]
[-175.85263085],[-30.00942324],[13.4225303]
[-174.16460771],[-26.92638347],[14.38114604]
[-177.39061833],[-28.49887108],[13.87977265]
[-172.67933209],[-25.51202483],[13.89018782]
[-172.58890631],[-26.81363852],[12.81385847]
[-172.65203784],[-26.35906332],[14.45019565]
[-171.96782583],[-27.47910083],[13.59326784]
[-169.98509128],[-26.28108911],[14.02263251]
[-170.4223971],[-25.72752216],[14.41050601]
[-169.61668871],[-25.32505438],[13.93659474]
[-170.75369433],[-26.37745858],[14.00610105]
[-169.93400313],[-26.50807878],[13.35500199]
[-169.66333172],[-23.63307428],[13.33962679]

[-177.73278985],[-31.49960042],[-162.04092801]
[-170.77106464],[-24.33429108],[14.78603159]
[-168.90519046],[-22.66036964],[13.47102392]
[-168.17259748],[-24.85131048],[13.68076451]
[-171.50348532],[-26.26103198],[13.77296068]
[-172.74824389],[-23.16565224],[13.07413142]
[-172.44494729],[-24.61416284],[12.89786944]
[-175.15540707],[-26.56006482],[13.25887745]
[-175.15633115],[-25.04484933],[12.48597812]
[-175.27164407],[-24.79462531],[12.34569072]
[-174.9596536],[-25.09707264],[12.71520533]
[-174.09370559],[-24.68836742],[12.18271879]
[-173.45248766],[-22.26548711],[11.72365867]
[-175.35730638],[-22.69561897],[12.79594419]
[-174.28119413],[-22.18026902],[12.52865156]
[-174.4853419],[-22.41176964],[12.44633017]
[-173.72403204],[-24.00100928],[12.20904526]
[-173.93807752],[-24.96534996],[11.63648833]
[-173.28746157],[-23.58956865],[11.84800073]
[-173.3329446],[-23.6397849],[11.67175188]
[-172.52233673],[-23.36127702],[11.05800575]
[-173.29902074],[-23.33505434],[11.85301914]
[-173.39012234],[-22.19697541],[11.44013783]
[-173.6126333],[-21.29361618],[12.37615994]
[-172.72023561],[-19.59145433],[12.10531838]
[-173.3478676],[-23.73248573],[11.76875291]
[-173.24969119],[-24.12602186],[12.26113081]
[-173.99861534],[-21.39531844],[13.10013635]
[-172.9974084],[-26.55389929],[14.23939798]
[-174.22444468],[-21.5817229],[14.28783438]
[-173.65708398],[-23.34613992],[14.15971935]
[-175.16673349],[-21.47463052],[15.80844576]
[-173.7393323],[-20.98177722],[15.24592825]
[-174.57146886],[-22.97332792],[15.77722555]
[-176.2786016],[-22.86683856],[15.1976008]
[-174.13094928],[-21.40936406],[15.37161449]
[-173.38847689],[-23.05120711],[14.7214293]
[-174.33350832],[-21.30751529],[14.8357539]
[-172.99246318],[-22.71752331],[14.48281443]
[-175.10532986],[-21.96886654],[14.60167527]
[-176.29300233],[-21.25272166],[15.14816033]
[-176.64739327],[-22.09923346],[14.67970861]
[-177.18452041],[-19.97518826],[15.25824306]
[-177.10153622],[-19.87216062],[15.74058539]
[-178.26694266],[-18.74196575],[17.01966522]
[-177.03381076],[-21.03920381],[15.82177842]
[179.38238374],[-25.7793214],[15.65178491]
[-173.86625577],[-22.28562779],[15.37042276]
[176.30161047],[-27.35370442],[16.80911719]
[179.33924053],[-23.62912545],[16.53317217]
[177.20835046],[-25.30036368],[17.74586001]
[-179.1587829],[-22.84009995],[16.41759123]
[175.43494468],[-30.40615542],[19.30079952]
[174.17791225],[-26.08202258],[19.03196415]
[173.54216885],[-27.71842655],[20.63872872]
[170.78731637],[-27.35011165],[20.44108677]
[179.12736119],[-23.44622723],[19.15053797]
[173.63912923],[-24.71204355],[21.80383465]
[172.53100801],[-24.36832484],[21.23791759]
[177.79690469],[-22.51576126],[20.60958232]
[-178.82921905],[-27.04296572],[17.6310784]
[174.45052776],[-26.62191197],[20.90754764]
[174.64295965],[-26.08563326],[20.30839351]
[175.44642536],[-23.83631771],[21.11162724]
[175.58936067],[-23.28970444],[20.35966988]
[174.39565781],[-24.65551139],[20.37097659]
[177.65475341],[-25.07792615],[20.11257062]
[176.55702746],[-23.6854715],[21.26863624]
[175.55605528],[-22.89418157],[19.12086496]
[178.7841095],[-21.9793429],[19.85452976]
[177.74839743],[-19.52542039],[19.41977419]
[176.88665399],[-25.1907487],[19.5157206]
[175.57288915],[-25.52994058],[19.83556881]
[179.48748197],[-23.1997382],[18.50066456]
[179.76117468],[-24.82077525],[19.0635261]
[-178.75967029],[-23.96248459],[17.58054936]
[-178.5015545],[-22.73469046],[17.67067724]
[-177.53667335],[-21.39655768],[17.6067974]
[-176.80875196],[-22.4490542],[17.01223614]
[-178.88818048],[-22.23913147],[17.50433369]
[-177.63247135],[-22.23022581],[17.90682758]
[-178.03907343],[-21.29580107],[17.61200586]
[-178.05555485],[-22.98134028],[17.38348024]
[-175.30982414],[-21.82541163],[16.80207815]
[-177.42251016],[-23.35700174],[17.66752869]
[178.81459729],[-24.28341953],[18.31560788]
[-175.88844767],[-24.09262316],[16.90076155]
[179.13862396],[-26.82319337],[18.90406115]
[-175.33565444],[-24.23541707],[17.38881463]
[-174.85700029],[-24.60550838],[17.17456256]
[-175.62417867],[-25.79865782],[17.7087442]
[-175.88608127],[-25.17872696],[17.19844797]
[-176.4357571],[-27.94569461],[17.61372427]
[176.58461699],[-25.49152663],[19.28342064]
[176.67343592],[-26.29355324],[19.66261007]
[176.294994],[-24.23790672],[19.25353526]
[177.64526828],[-24.8080456],[20.09336137]
[177.46602733],[-23.77202299],[19.20469367]
[178.34633019],[-25.7686165],[19.21776318]
[176.79169668],[-26.36359991],[18.47555721]
[179.05603603],[-21.00942668],[18.83511672]
[174.47564726],[-25.84992162],[20.14684788]
[177.43360928],[-21.9764873],[19.2106531]
[-175.90901194],[-24.42647965],[18.71345051]
[176.37563323],[-22.39863964],[19.37078452]
[-179.4739175],[-20.82492646],[19.38158023]
[177.80926114],[-24.01213217],[18.90722998]
[-176.74253568],[-21.14873703],[17.88202935]
[179.19086607],[-21.07109891],[19.32107052]
[177.82625018],[-23.6602191],[19.50452503]
[177.99723885],[-25.29353793],[18.70717172]
[178.77855581],[-23.60609567],[18.98065784]
[179.56689992],[-23.46054028],[18.90320799]
[178.0676453],[-24.76272291],[18.75821583]
[177.98421514],[-26.03538048],[18.36103551]
[-178.62051323],[-22.04364994],[17.80582295]
[-175.41850398],[-23.30736019],[17.3831855]
[177.72196375],[-26.86316714],[19.52194645]
[179.92101666],[-26.0040354],[18.2047832]
[177.59592903],[-26.68934642],[18.19599584]
[178.30539137],[-26.22316166],[18.51801626]
[-176.81263559],[-24.18348443],[17.37098756]
[179.31611985],[-23.59517546],[18.25780962]
[-177.82253839],[-24.51642621],[17.73143333]
[-178.36781417],[-25.30984849],[17.85021786]
[179.80341548],[-24.3920464],[17.82502912]
[-179.83562264],[-24.8820265],[17.53106585]
[-178.20143298],[-24.56850026],[17.39209514]
[-179.50383208],[-22.56991181],[17.88497264]
[-176.54178588],[-23.79613146],[17.35638138]
[-178.46646633],[-23.89346733],[17.52352183]
[-177.44537671],[-22.855741],[17.25951711]
[-178.74332479],[-24.31996465],[17.40086277]
[-179.44693939],[-23.89646473],[16.91963112]
[-177.58374291],[-22.64893116],[16.87677842]
[-176.66605318],[-23.42703844],[16.11922541]
[-179.18041778],[-24.61803697],[16.75940306]
[-176.92774132],[-24.73137198],[15.93119182]
[-177.80001811],[-25.13595073],[16.39261562]
[-178.38085203],[-25.58125214],[16.25033072]
[-177.59075262],[-25.07361261],[16.42154747]
[-176.6722281],[-25.99185414],[15.48407541]
[-179.05515167],[-26.03605113],[16.43823506]
[-178.87232816],[-24.13137336],[16.27727008]
[-177.97771499],[-27.04300985],[16.46371635]
[-177.39007924],[-26.95326496],[16.06571892]
[-177.45299827],[-27.23971169],[15.79634998]
[-178.22663968],[-25.21281963],[16.55915789]
[-179.28005896],[-27.33727242],[16.32704233]
[-179.41688473],[-29.29122268],[15.9114527]
[-178.48008124],[-27.22567753],[15.63077556]
[-179.60011466],[-24.5066979],[16.02680368]
[-178.20121],[-26.46156441],[16.21186774]
[-177.77801421],[-26.56053483],[15.68261167]
[-178.29087513],[-26.57182787],[15.58511227]
[-177.55238548],[-23.69607504],[15.63020927]
[-179.19699029],[-27.90561681],[15.98162132]
[-178.4526244],[-24.41234045],[16.00293179]
[-178.22879538],[-23.07439102],[16.59543668]
[-178.1188637],[-25.05192151],[16.16410242]
[-175.26008146],[-21.63652386],[15.1163808]
[-176.42137988],[-21.84763627],[16.30371348]
[-177.69079457],[-22.86431225],[16.26731731]
[-175.22421348],[-22.061546],[15.71384769]
[-176.49463019],[-19.5650179],[17.10174616]
[179.15776456],[-23.23871417],[17.69843516]
[-176.75074013],[-20.04616664],[17.18257019]
[-175.36420749],[-21.84489412],[17.20373861]
[-174.61110965],[-18.35819632],[16.69796044]
[-177.11372852],[-22.45599671],[16.90355995]
[-176.09701352],[-21.46223099],[16.9006848]
[-178.37675032],[-22.18828875],[17.86143389]
[-177.77893268],[-22.30211223],[17.36137699]
[-176.79407122],[-22.98338053],[17.40673364]
[-176.63438938],[-20.56655903],[18.31117024]
[-177.52452205],[-21.34280166],[18.49929706]
[-178.15017254],[-27.12657607],[17.1995328]
[-179.5033362],[-28.08338959],[18.01063737]
[-178.89597851],[-24.85328701],[17.54236982]
