[-179.12540589],[-18.68400634],[-9.77275925]
[-178.988469],[-16.51336029],[-9.21508271]
[-178.44749927],[-17.63623694],[-9.58224034]
[-179.52914737],[-16.99527098],[-9.86095453]
[-178.33967584],[-16.84368],[-9.54212117]
[-178.7202906],[-19.10195416],[-8.72486489]
[179.71435173],[-18.10253117],[-8.12074268]
[178.61835898],[-18.14478764],[-7.4634283]
[176.93046612],[-20.64451677],[-7.49742494]
[176.00153028],[-20.16427752],[-6.95226285]
[174.93245089],[-18.1715673],[-6.98232463]
[175.71030234],[-20.09646006],[-6.96070756]
[175.09265432],[-18.88334288],[-6.61459674]
[172.91723815],[-17.70667604],[-6.13020488]
[172.22849985],[-18.01454843],[-5.70231089]
[174.83810806],[-15.96258652],[-6.64937152]
[177.33117304],[-16.41571581],[-6.91221631]
[176.92229586],[-17.37802817],[-6.3697955]
[179.53196664],[-16.86861118],[-6.75821702]
[179.27150604],[-15.96624844],[-6.22790148]
[-178.84148039],[-16.39322599],[-7.0488341]
[-178.28284419],[-17.85667976],[-7.03492434]
[-178.18505316],[-17.35803636],[-6.8284842]
[-177.62134913],[-17.75355975],[-7.57355094]
[179.99362034],[-19.47160602],[-6.32626591]
[179.4784397],[-17.5534912],[-7.03168087]
[179.84817304],[-18.55098614],[-7.04151259]
[177.42756121],[-17.28700863],[-6.80085765]
[176.35357869],[-18.93115236],[-6.73520409]
[176.80468971],[-19.03116573],[-6.23489827]
[178.57536712],[-15.64007864],[-7.53784706]
[178.8529477],[-16.1154544],[-6.85103348]
[-178.59463118],[-17.43174592],[-6.54700875]
[-177.30391111],[-18.92575755],[-7.03414069]
[-177.29685874],[-16.415666],[-6.77625876]
[-175.00494442],[-15.46529912],[-7.48732256]
[-176.54164249],[-19.1436364],[-7.28096336]
[-177.99566816],[-16.50384625],[-7.46667454]
[-178.79746988],[-19.73662231],[-7.74801942]
[-177.77059139],[-13.08211174],[-8.68447807]
[179.3965266],[-13.97879666],[-7.99452881]
[178.69900248],[-13.94480765],[-8.21091141]
[177.87707598],[-16.52994279],[-8.17067686]
[177.65447957],[-16.08948588],[-8.17033663]
[179.59495104],[-16.26311858],[-8.88458915]
[178.73530508],[-12.88114143],[-8.95514578]
[179.33601465],[-15.26251699],[-9.0356296]
[179.91940227],[-16.25433679],[-9.57195583]
[178.82170857],[-17.68578027],[-8.65176742]
[-179.11734281],[-15.22355679],[-9.36194906]
[-179.23946531],[-14.81768303],[-9.94192104]
[-179.70662749],[-15.56680464],[-10.08650255]
[179.11402681],[-17.66208322],[-8.74264625]
