[-173.75752794],[-14.36084007],[-1.43329848]
[-172.66788388],[-15.6188616],[-1.88615333]
[-173.46040179],[-14.71946278],[-2.26581068]
[-175.17475071],[-13.63084696],[-2.04073222]
[-174.5998668],[-13.6330004],[-2.00759213]
[-175.33590656],[-12.06224997],[-1.87285222]
[-175.36217674],[-8.68115713],[-2.41219795]
[-176.14525407],[-8.70417211],[-2.02649946]
[-176.24400715],[-6.5985738],[-2.23702813]
[-176.84227886],[-9.81653222],[-2.43819103]
[-176.83371956],[-7.34995049],[-2.27998605]
[-176.92417087],[-5.54041758],[-2.81937159]
[-174.56239985],[-5.63446802],[-3.30478057]
[-174.68739035],[-2.17903531],[-3.80712698]
[-173.22801861],[-3.80136417],[-4.30934704]
[-173.24357787],[-6.35788629],[-4.21907308]
[-172.34795418],[-4.60840254],[-4.96735588]
[-175.27683307],[-5.95360739],[-4.32751651]
[-173.25459764],[-3.92761691],[-4.69040514]
[-173.6544113],[-5.55760874],[-4.64683892]
[-172.31186436],[-4.50273726],[-4.74561881]
[-172.31186436],[-4.50273726],[-4.74561881]
[-172.95966464],[-3.16423078],[-4.37169037]
[-171.54553086],[-2.94232571],[-4.42241149]
[-170.28008876],[-5.25972589],[-4.85675033]
[-170.39099733],[-4.24254262],[-4.7918992]
[-170.81608405],[-4.03373258],[-5.05025485]
[-170.61748084],[-5.33572061],[-4.70648113]
[-173.42104218],[-3.17991952],[-4.66674258]
[-168.97579136],[-5.66154331],[-5.01336056]
[-169.5675367],[-4.54515593],[-5.09070777]
[-168.0698917],[-4.43254031],[-4.86810287]
[-170.16304814],[-4.19135588],[-4.91297666]
[-171.69866486],[-4.8623973],[-4.81110581]
[-169.80040057],[-3.1977338],[-4.6591572]
[-170.39182178],[-6.8781145],[-4.32572993]
[-171.49333566],[-7.17784069],[-3.84121276]
[-171.63407153],[-6.30703004],[-3.77606114]
[-170.31955296],[-6.48113764],[-3.77860689]
[-169.45555884],[-5.80795314],[-3.6372926]
[-171.09126397],[-6.88182173],[-4.13107863]
[-170.1484677],[-6.92606189],[-4.44311658]
[-170.42585948],[-5.28598673],[-4.19403602]
[-169.41941844],[-3.91478699],[-4.08059688]
[-169.62162205],[-6.81860979],[-3.58034993]
[-169.20573307],[-8.51516065],[-4.01254148]
[-170.35272621],[-7.20180276],[-3.76502733]
[-169.62162205],[-6.81860979],[-3.58034993]
[-171.63266715],[-9.2107908],[-3.43954353]
[-171.38167939],[-9.29589918],[-3.37351786]
[-170.15237158],[-7.44239039],[-3.17616013]
[-172.6880775],[-9.45295909],[-2.40332421]
[-171.2265851],[-8.64845175],[-2.01383226]
[-172.79639097],[-7.31817716],[-2.51169521]
[-173.6190786],[-8.40075914],[-1.34725312]
[-173.49107206],[-8.09960921],[-1.50676705]
[-172.51186918],[-8.94624858],[-1.05984111]
[-171.24148388],[-8.45262617],[-1.02568614]
[-170.88150752],[-9.65391019],[-0.93517761]
[-170.50239055],[-10.34457459],[-1.04947777]
[-173.8635541],[-11.17094054],[-0.1513837]
[-171.57320975],[-10.92257055],[0.41841136]
[-172.18581284],[-10.79148117],[0.21592309]
[-170.73872783],[-11.79224313],[0.85965138]
[-169.27925415],[-11.93959137],[0.66532385]
[-168.47207832],[-13.23514699],[0.88852686]
[-169.16666826],[-14.94164172],[1.64568926]
[-168.29223374],[-14.51846762],[1.23392292]
[-167.49694952],[-14.09082998],[1.21909934]
[-168.09664774],[-15.2650867],[1.68498766]
[-168.55729311],[-14.09173602],[1.62128522]
[-168.27073371],[-13.56148649],[1.58508071]
[-167.20546635],[-14.72461133],[0.96288381]
[-168.04814458],[-12.38606601],[0.63698605]
[-167.48545229],[-12.62590887],[0.82700863]
[-168.03355908],[-12.02587328],[0.80057859]
[-167.18009598],[-12.88901466],[-0.35691129]
[-168.17225333],[-11.79819532],[-0.80828439]
[-167.32764371],[-11.54264029],[-1.05829117]
[-168.09211975],[-9.20094297],[-2.24081035]
[-169.91091857],[-11.40570592],[-2.6341792]
[-170.96720755],[-9.77932786],[-1.73566964]
[-170.21185075],[-8.92421275],[-2.82273427]
[-169.78279077],[-7.24170964],[-3.49096928]
[-169.87933762],[-5.35811062],[-3.68342133]
[-171.02075481],[-6.46252649],[-4.72849935]
[-172.26594101],[-4.98040795],[-5.17035636]
[-170.4978748],[-3.08222449],[-5.62556695]
[-171.00977674],[-5.23516406],[-5.27444345]
[-171.29934524],[-6.06460255],[-5.59854902]
[-169.67314499],[-3.56560939],[-5.09849389]
[-170.23619367],[-3.53395248],[-5.40814793]
[-170.59511058],[-1.52579381],[-5.36806877]
[-170.73239176],[-3.37787517],[-5.09791092]
[-173.69907025],[-7.44630001],[-5.01801974]
[-174.66253142],[-6.15324844],[-4.91696714]
[-176.73352334],[-8.99442422],[-4.48240323]
[-175.68374936],[-11.21192987],[-4.24630911]
[-175.68374936],[-11.21192987],[-4.24630911]
[-178.02618241],[-10.32944038],[-3.04062332]
[179.93984663],[-7.87174017],[-3.01495089]
[-179.86664626],[-12.4155315],[-2.74928277]
[-178.30020809],[-11.30918947],[-3.04020826]
[179.87196959],[-9.60855473],[-2.05196517]
[-179.08075351],[-16.56173106],[-1.02861837]
[-179.31104916],[-13.92012356],[-1.79396995]
[-179.57447794],[-14.88399463],[-0.52047904]
[179.55427478],[-14.79632328],[-0.0254988]
[-179.05595552],[-18.24268052],[0.55312366]
[179.18530353],[-16.61617393],[1.73541115]
[179.64338137],[-17.49373246],[1.34531682]
[179.62943955],[-17.87234607],[2.67644335]
[-179.4479202],[-18.00863862],[3.28330088]
[-179.84003613],[-15.72116293],[4.28606698]
[178.42811102],[-13.10317067],[5.76902585]
[-179.22257916],[-9.77030117],[6.18065779]
[179.61302668],[-7.8748487],[6.77242082]
[-179.91887969],[-10.80380701],[7.1377224]
[-178.55460768],[-13.42074404],[7.08721275]
[-178.93844047],[-11.02096397],[8.10055318]
[-178.95053152],[-8.35503155],[8.109173]
[-179.85671201],[-4.44907],[8.9561988]
[179.90689922],[-4.10383668],[8.69141265]
[-179.40043291],[-11.36970944],[10.1357461]
[-179.65218717],[-15.72681536],[10.00270201]
[-179.41577735],[-12.16448722],[10.43182869]
[-177.58465622],[-12.40661344],[10.61712714]
[-178.2380411],[-13.40558306],[11.46222103]
[-178.34322959],[-13.26137053],[12.26716068]
[-178.24852386],[-9.81807166],[11.94310499]
[-178.10233611],[-16.76789704],[12.21676835]
[-177.16852521],[-15.91617913],[11.83529576]
[-178.77106136],[-15.54040878],[11.90647869]
[-176.87486522],[-16.62426669],[11.19610233]
[-177.68089276],[-15.8707637],[11.66563537]
[-175.63450042],[-16.49403201],[11.21456]
[-177.19787136],[-16.14703706],[12.15935609]
[-178.53511914],[-17.19371253],[12.20933559]
[-177.74258093],[-16.04869727],[12.1373266]
[-177.77260948],[-16.57970004],[11.41560189]
[-178.2360207],[-17.00792983],[11.75899601]
[-177.59949797],[-16.51273539],[11.44224548]
[-177.24106833],[-16.59155529],[11.57814554]
[-176.57525722],[-15.08816239],[10.83177892]
[-178.06826137],[-16.20185053],[11.12458554]
[-177.28315057],[-15.16141304],[10.63309303]
[-177.54250173],[-14.22375983],[10.26869296]
[-178.08177819],[-16.08945888],[10.42551849]
[-178.38103227],[-15.95592894],[11.08924059]
[-177.76269591],[-14.56155214],[10.13443372]
[-177.86330355],[-12.87137442],[10.75137963]
[-178.93285346],[-14.60586158],[10.66675416]
[-179.52794854],[-15.81041758],[10.49116524]
[-179.2790643],[-15.35888277],[10.10874769]
[-178.32597505],[-11.95179005],[9.71768258]
[-178.19247515],[-14.0663992],[9.50173521]
[-178.56684815],[-14.0666956],[9.86735346]
[-176.88784623],[-13.91332287],[9.35705517]
[-178.14637924],[-12.23108287],[9.45069326]
[-178.92597446],[-14.10118438],[9.7300232]
[-176.41779778],[-12.67055963],[9.41080774]
[-176.3907388],[-13.278966],[8.80138991]
[-177.47533163],[-14.24914748],[8.92710959]
[-178.45530596],[-12.74083984],[9.10577157]
[-178.25772492],[-14.14864256],[9.25409518]
[-178.76066594],[-14.21211465],[9.06910767]
[-178.45860732],[-12.11076801],[9.07750115]
[-178.33365975],[-15.35621197],[9.90632825]
[-178.4890807],[-13.85700598],[9.56465419]
[-179.70049576],[-14.3186872],[10.5128104]
[-178.52081497],[-14.0389453],[10.5712943]
[-178.84575791],[-15.98391894],[10.06345664]
[-178.10982037],[-16.09076851],[9.73843259]
[-177.62100945],[-16.09071149],[9.91795912]
[-179.20189633],[-15.16224403],[9.83631617]
[-179.61519477],[-16.8067115],[10.62868912]
[-178.80493491],[-16.85486827],[10.18143655]
[-178.95264611],[-16.95540979],[10.14453458]
[-179.5647875],[-16.275866],[10.02875023]
[-179.6738627],[-13.00489418],[9.90979378]
[-179.92992975],[-12.19287693],[10.31254963]
[-178.73735641],[-12.49735615],[10.41183565]
[-178.83580134],[-14.00978981],[9.84896965]
[-179.12999237],[-13.93590248],[10.31336599]
[-177.27789884],[-12.27962088],[9.45550571]
[-178.46495791],[-14.76491185],[10.26972429]
[-178.90809472],[-14.79062903],[9.76230136]
[-177.65220332],[-11.97099494],[9.78576042]
[-177.93672133],[-15.21598582],[10.39770465]
[-177.81585192],[-15.39705385],[9.84131632]
[-178.4890542],[-16.33724717],[9.96382788]
[-178.80001292],[-17.05486239],[9.9402241]
[-177.79904554],[-15.57362966],[9.12466088]
[-177.98912061],[-15.74203016],[9.91394881]
[-177.52685151],[-15.12145517],[9.3456844]
[-177.36971208],[-15.25364003],[10.38761576]
[-177.99843303],[-14.8976666],[10.41089059]
[-178.45477914],[-15.19579358],[10.03423062]
[-176.65245445],[-13.12400355],[9.84578209]
[-177.12597397],[-14.33367589],[9.79464383]
[-177.9878714],[-13.98523244],[10.20762949]
[-176.65245445],[-13.12400355],[9.84578209]
[-176.5780874],[-15.57221914],[9.52187164]
[-177.04044993],[-16.52215509],[9.12347863]
[-177.73447467],[-14.23134294],[8.99406376]
[-177.01576316],[-14.17361987],[9.03019821]
[-177.54955109],[-14.14174758],[8.84509845]
[-177.54955109],[-14.14174758],[8.84509845]
[-177.58283211],[-13.56195202],[9.46104788]
