
[177.28207682],[-22.39073664],[6.37680471]
[175.85905156],[-20.82038307],[6.25247856]
[178.28825652],[-24.60390861],[4.44676854]
[177.96750793],[-18.81691688],[5.26287398]
[177.15024651],[-22.03524746],[5.66436421]
[176.91919513],[-18.52150996],[5.19864236]
[177.84988305],[-19.64327089],[5.13914592]
[176.88801987],[-16.38376822],[5.59228849]
[178.3587703],[-18.48878934],[4.7122048]
[178.09603191],[-16.33958021],[4.4925268]
[178.99848972],[-18.21366631],[4.42786714]
[177.78008464],[-19.26990195],[3.80090781]
[179.37804589],[-17.54647091],[3.86762626]
[178.17880997],[-18.25174826],[4.36771279]
[177.33744627],[-16.35987346],[3.52962244]
[175.669366],[-20.32900757],[4.73413925]
[175.42385525],[-15.27376468],[3.57028176]
[173.44137113],[-14.18648976],[3.5143277]
[173.29116732],[-13.11613578],[4.18311726]
[174.33237343],[-14.03549169],[2.76006229]
[176.20038231],[-10.61864037],[2.16580513]
[176.31677209],[-14.11649358],[2.43562568]
[176.93414414],[-15.80790063],[2.16656971]
[176.22531739],[-13.52162134],[2.19729022]
[177.09253232],[-16.38565494],[2.43215926]
[175.7688118],[-14.95359151],[2.42122091]
[175.95565614],[-18.27439106],[1.94646552]
[175.21883825],[-14.09810219],[2.46847998]
[175.56064395],[-15.8623463],[1.87407955]
[174.71832005],[-14.54212798],[1.72568506]
[175.45720243],[-14.83020477],[1.68392408]
[176.25762916],[-15.67551487],[1.48251655]
[175.38630143],[-17.80531843],[1.54881096]
[175.38273927],[-17.72013306],[1.5883643]
[175.33794653],[-17.69083518],[1.91442566]
[176.43677102],[-15.33235581],[2.33169502]
[176.79737572],[-16.61046461],[2.74762989]
[174.51751271],[-18.02480588],[1.95734467]
[174.55000524],[-18.36702112],[1.94978343]
[175.54728321],[-15.83986289],[1.37292771]
[174.79586076],[-17.50945331],[1.66778178]
[174.16948844],[-17.59918686],[1.10864251]
[174.79546288],[-16.71458904],[1.73621221]
[175.10538357],[-17.06059163],[1.45602427]
[171.3309414],[-15.24592923],[1.66288582]
[174.59386095],[-17.13256884],[1.16489505]
[175.16571587],[-18.47273045],[1.30724365]
[173.65058223],[-15.70021519],[1.16606818]
[174.11334222],[-17.3032757],[1.59315151]
[174.15899757],[-13.43847203],[1.70598609]
[174.40398886],[-16.70912584],[1.25818587]
[173.51747198],[-14.82968604],[1.60824411]
[173.78527669],[-15.82889487],[1.35248591]
[173.46365985],[-15.32003523],[1.2995557]
[173.96942469],[-15.42161307],[1.37412501]
[174.66372267],[-18.57117497],[1.20649038]
[175.03113793],[-17.07985606],[1.73020653]
[173.55945233],[-16.63044709],[1.83387666]
[174.957204],[-16.26554427],[1.04246685]
[174.93264856],[-17.19367754],[0.71987449]
[173.92791966],[-15.79884864],[1.05810779]
[174.95864099],[-16.04004886],[1.11535437]
[174.29687756],[-18.00115704],[1.60072961]
[174.3414337],[-17.38674095],[1.73575539]
[174.13546514],[-14.95956412],[0.92794501]
[173.94014432],[-17.33078998],[1.5432105]
[173.57759697],[-14.8465182],[0.70740507]
[174.48037188],[-15.19016893],[0.74024595]
[174.8100798],[-15.04684164],[0.2659952]
[174.40403766],[-16.52381842],[0.70222495]
[174.08186676],[-14.02984799],[1.21975945]
[174.07477654],[-17.78261613],[0.68255426]
[175.08026173],[-15.82829974],[0.4208633]
[175.29984554],[-13.594792],[0.38677519]
[173.81751446],[-14.55811481],[0.51424104]
[173.38556911],[-16.55756496],[0.74044867]
[174.20648385],[-17.55282251],[0.69986321]
[174.68445298],[-18.13313242],[1.09122359]
[174.09334899],[-15.18830343],[0.33844787]
[174.66751038],[-16.48301121],[0.87188522]
[174.91937086],[-16.32949737],[0.87912786]
[175.18071739],[-16.21938067],[0.68832865]
[173.96508479],[-16.28814891],[1.65823513]
[174.75008844],[-15.93587303],[0.89932064]
[174.66751038],[-16.48301121],[0.87188522]
[175.07141239],[-16.91533866],[0.99488804]
[173.7517917],[-15.13288063],[0.62438167]
[174.14541714],[-15.71131409],[1.22016753]
[173.50794097],[-12.81245662],[0.39729909]
[174.55304388],[-14.15763974],[0.50913648]
[175.31857041],[-17.41349072],[0.93390008]
[173.54885454],[-17.35152929],[1.19773697]
[173.75035655],[-15.15228086],[1.34360777]
[173.77580662],[-14.21021406],[1.11252766]
[173.63086142],[-14.56819601],[1.15185716]
[174.02620404],[-15.44202962],[0.92184312]
[173.27406264],[-12.82733302],[1.28998288]
[174.29261299],[-14.95821364],[1.46839592]
[174.30118214],[-14.7849391],[1.65737346]
[174.54954818],[-15.83873979],[1.74580689]
[175.10395418],[-12.90226584],[1.03468774]
[171.50490585],[-7.24363396],[4.11224778]
[172.97608549],[-5.438561],[2.65570183]
[171.56935077],[-8.62149662],[3.27162274]
[175.05187914],[-12.49483127],[2.29077436]
[171.59180329],[-4.94012252],[4.30743372]
[174.43726378],[-8.69972381],[2.52073201]
[172.39754553],[-6.36366668],[4.32637779]
[175.92111119],[-9.68063372],[2.09484543]
[172.40626899],[-12.45520096],[4.34170209]
[173.69292346],[-7.31607366],[3.13290193]
[176.54655571],[-14.83825044],[2.4385497]
[174.13224373],[-8.83650938],[2.40268992]
[172.54849468],[-7.03318387],[3.98303633]
[172.00313907],[-9.78555286],[4.72404102]
[173.347166],[-12.25965213],[3.98165539]
[175.79958099],[-16.25051872],[2.17952632]
[174.26217338],[-10.82536615],[3.43808099]
[173.11437079],[-8.7455027],[2.6127033]
[171.76935349],[-7.60957902],[3.17509522]
[171.5638253],[-10.10929397],[3.24253379]
[170.14300798],[-15.53677134],[3.66229621]
[171.78817157],[-9.40551635],[2.92443123]
[168.66108101],[-7.7831246],[5.25120516]
[172.9122867],[-9.96210373],[1.88644266]
[170.17874412],[-9.57450248],[3.56559782]
[172.57941541],[-10.390867],[2.49220068]
