[-174.89306785],[-7.20466241],[0.40311318]
[-177.16597888],[-5.09097415],[0.57341962]
[-174.47084802],[-1.07666879],[0.14009901]
[-175.21983326],[-4.38834999],[-0.16888188]
[-176.93147223],[-1.2972129],[1.04645952]
[-177.00271212],[-5.15850307],[1.37006186]
[-175.76562042],[-8.04295111],[1.23230813]
[-173.2189572],[-5.04656619],[0.97846704]
[-173.85270568],[-7.32628641],[0.2666477]
[-173.60676283],[-9.57961146],[0.40356369]
[-172.94980041],[-4.75590915],[0.00983804]
[-173.07529233],[-0.67249503],[0.71395732]
[-171.47507749],[-1.52623804],[0.0478537]
[-173.37574732],[-5.21490237],[0.45276696]
[-173.70828901],[-0.79599895],[0.38972434]
[-173.94762361],[-4.04527349],[-0.33751219]
[-173.39499955],[-3.26867064],[-0.96819956]
[-174.03007207],[-2.37587732],[-0.47184209]
[-173.71552122],[1.52136021],[-0.63741351]
[-175.27073066],[-2.6706082],[0.19133033]
[-174.66577278],[-5.6580826],[0.58894457]
[-172.59323464],[-2.49838694],[0.61753778]
[-172.16890294],[-2.63114279],[0.87094078]
[-170.89992768],[-3.69955456],[1.22935226]
[-169.37387495],[-3.26087455],[1.30548637]
[-169.41446282],[-6.46389459],[1.07081008]
[-166.84163677],[-3.92376696],[0.54202403]
[-168.92217843],[-2.72617075],[0.88948522]
[-167.50647151],[-4.28503662],[1.1680684]
[-166.40924575],[-3.21911206],[1.38003541]
[-167.98483924],[-8.29681837],[0.66713236]
[-165.57840799],[-11.06911651],[-0.15348997]
[-163.77705114],[-7.75815498],[0.45750735]
[-160.83837427],[-4.5344579],[1.61654601]
[-158.75280297],[-3.47722152],[1.30071105]
[-151.71741037],[-27.60013702],[173.81287373]
[-149.26156697],[-28.2865488],[175.4210847]
[-142.23154876],[-22.76270905],[175.08596411]















[-149.90887642],[-31.0063444],[177.15553337]
[-167.83477329],[-19.21417683],[3.24426288]
[-162.68544637],[-14.29239115],[7.20719627]
[-166.42080717],[-17.49357264],[10.947949]
[-179.83643961],[-18.41185869],[2.7202191]
[-175.19178404],[-19.75850542],[12.47309224]
[179.70067044],[-16.38594058],[11.65527607]
[-177.42445393],[-15.84945239],[10.49409836]
[-179.33800911],[-11.07508734],[8.96909653]
[-178.19976133],[-13.04780565],[7.31650969]
[-176.33226429],[-9.1695552],[6.21631196]
[-176.68606858],[-8.32465234],[3.36888868]
[-177.67715787],[-10.76395812],[2.05381466]
[-176.91961935],[-5.636689],[1.52835812]
[-176.79128572],[-9.17497045],[-0.15151032]
[-174.45738944],[-3.66575871],[-2.48128675]
[-175.49805333],[0.37248708],[-2.52062201]
[-173.41590445],[-1.3077212],[-3.95172425]
[-174.6962209],[2.28002866],[-4.10588566]
[-176.3766313],[3.74756621],[-3.25575118]
[-175.50678225],[7.09669227],[-2.68160355]
[-177.4114439],[5.44356037],[-0.08662618]
[-176.21279189],[9.7551228],[1.42531686]
[-178.15987616],[9.75302025],[1.57636801]
[-176.81331281],[9.18111338],[1.69969301]
[-174.83604429],[8.61706967],[2.45333188]
[-171.1195503],[6.97748654],[1.9638664]
[-165.22031928],[5.53207361],[2.67226753]
[-163.0146065],[6.23413735],[3.46481741]
[-162.52952791],[5.65147667],[4.30374992]
[-159.51968549],[8.02643317],[5.58067241]
[-158.42590921],[7.73010138],[7.25476718]
[-154.87277585],[6.75946657],[8.08746399]
[-154.44766615],[7.32215877],[9.55493596]
[-154.76534682],[5.08791565],[9.12931818]
[-162.2083705],[-1.18904116],[7.80976415]
[-164.69474285],[1.11768444],[4.98334552]
[-164.66434136],[-1.44932536],[5.65082429]
[-171.26988311],[-10.50086404],[4.15831528]
[-175.57302619],[-5.00121305],[4.06766463]
[178.73027266],[-6.62166512],[2.08239217]
[175.86675545],[-6.73813604],[1.28827939]
[174.16619113],[1.30471207],[0.08536094]
[172.78450511],[5.03336327],[-0.81129394]
[171.13459457],[14.9496613],[-1.70655331]
[171.39641951],[19.39229276],[-1.2858553]
[173.20849244],[16.45174636],[-0.10075872]
[175.04452013],[13.66256715],[0.49423115]
[174.75346544],[15.24313941],[0.63263413]
[175.14374696],[10.83144854],[1.32570431]
[179.90497155],[6.72063736],[1.85437506]
[-178.68226031],[8.78367924],[1.95521541]
[-178.35883202],[6.84920204],[1.47941846]
[-176.18729638],[0.91477196],[1.52298949]
[-175.00043966],[5.24241633],[2.43457293]
[-172.9000004],[8.29581544],[2.57835732]
[-172.92562935],[5.98168305],[2.78719514]
[-171.83283045],[1.60404519],[3.24945289]
[-172.31940925],[5.83270751],[2.93656681]
[-174.45620253],[5.49064239],[2.91864089]
[-173.97976789],[6.26927586],[2.70629725]
[-175.23022193],[6.74945441],[2.78467496]
[-176.19753622],[4.44528056],[2.45283738]
[-177.60523512],[8.30214904],[2.4235228]
[-177.26571972],[2.98137251],[1.50533136]
[-176.13852667],[3.1206739],[2.32282793]
[-177.58923026],[1.60166805],[2.48697463]
[-173.13038583],[1.88581774],[2.19097038]
[-175.94446717],[8.52944434],[2.9311083]
[-175.17281049],[6.06417957],[2.555122]
[-174.58392801],[2.70661684],[2.85834209]
[-172.40194409],[3.11768904],[2.74362985]
[-172.45579371],[3.12082707],[2.44713471]
[-176.47602044],[5.18636228],[2.21440379]
[-175.93314417],[5.02861305],[1.64388967]
[-178.55415805],[8.31941706],[0.53505952]
[-178.32389294],[8.60790951],[1.39334545]
[-177.91228495],[5.61267454],[1.23519092]
[179.87337057],[7.0361756],[1.63472643]
[179.92274132],[7.06507302],[1.63675181]
[-179.90265837],[5.50417521],[2.35569998]
[-179.53236286],[11.10073381],[2.64835279]
[-179.69510524],[5.24846201],[3.47978589]
[-179.15740171],[11.84982129],[3.2351362]
[179.25847308],[12.87939168],[3.70492346]
[-177.57425526],[15.91787496],[4.14298493]
[179.85713795],[18.10972574],[4.54279402]
[-176.92534611],[17.44959157],[4.55368957]
[-176.44947712],[18.52934885],[4.32218127]
[-177.93040889],[13.82041347],[4.27153698]
[-176.64319422],[13.16365216],[4.41385065]
[-175.52582557],[11.72943532],[4.02228641]
[-179.9748332],[19.84485961],[3.81132229]
[-177.03641602],[18.52511026],[3.44366835]
[-178.10129637],[18.14938301],[3.14010812]
[179.68109487],[21.06922108],[3.21723657]
[-179.00351999],[21.27476548],[3.46054675]
[-178.733308],[20.93075803],[2.9652592]
[-178.89633645],[24.88765963],[3.29643398]
[-179.05756559],[21.70179176],[3.28432838]
