[178.35992046],[-19.61611518],[-6.68439939]
[177.36511289],[-19.47930897],[-6.30728882]
[177.29529887],[-19.7727718],[-6.28757389]
[177.30337251],[-20.6594501],[-5.80091369]
[177.34577911],[-21.64998527],[-5.93635788]
[176.40981356],[-19.92962083],[-5.6552011]
[176.40981356],[-19.92962083],[-5.6552011]
[177.65373875],[-19.96329072],[-5.90903654]
[177.04208408],[-19.37812496],[-6.26368855]
[177.5344521],[-19.24377118],[-6.62658627]
[177.68588622],[-20.47801925],[-6.8661134]
[177.25090591],[-21.14939804],[-6.44754444]
[177.94787551],[-20.59311414],[-7.15226715]
[179.4920937],[-22.9689785],[-7.49633157]
[177.94193677],[-21.64157849],[-7.01682105]
[177.87961567],[-21.03000798],[-7.41405338]
[178.14256112],[-22.34273172],[-6.8348884]
[178.28456815],[-23.97300014],[-6.68974116]
[177.53516421],[-24.39523647],[-6.92422629]
[178.72434807],[-24.37004035],[-6.49319864]
[177.1233768],[-22.1588772],[-6.12457377]
[177.27611262],[-23.8618811],[-5.37417771]
[176.07673858],[-21.14904592],[-5.0651196]
[177.70497919],[-21.79630529],[-5.87513098]
[176.57445036],[-23.77709443],[-5.71863046]
[176.38871492],[-23.07616816],[-5.91511355]
[176.05072593],[-23.66343557],[-5.98723036]
[176.26362517],[-24.41665319],[-6.17092309]
[175.12410636],[-22.57508776],[-5.83148755]
[173.74130316],[-22.82216092],[-5.43986487]
[173.6159185],[-22.87454372],[-5.66949459]
[175.61059193],[-24.35098465],[-5.63242585]
[176.9595612],[-27.26757356],[-6.18908016]
[175.4703546],[-25.44223158],[-5.81099958]
[175.21790452],[-26.43802334],[-5.72641575]
[174.91925888],[-25.58599268],[-5.73765972]
[176.79462704],[-25.81114983],[-6.85348232]
[176.06896379],[-26.01524947],[-7.01576016]
[175.68018618],[-27.49193774],[-6.89673087]
[174.70447331],[-26.95530365],[-6.03328617]
[174.74133609],[-24.96060778],[-5.99005211]
[175.43359909],[-25.3142287],[-6.48109375]
[175.36707181],[-26.27071259],[-6.70854981]
[174.81066706],[-26.42105539],[-5.9321228]
[174.88326018],[-26.33347058],[-5.55439925]
[174.62510886],[-26.522348],[-5.71283556]
[175.35989334],[-27.02490936],[-6.34830198]
[174.89033302],[-26.20227892],[-6.42605902]
[175.19564363],[-25.15880363],[-5.82738509]
[174.75633844],[-26.18995244],[-5.79388874]
[174.71134431],[-25.38150611],[-6.26085122]
[175.1156723],[-27.55320853],[-5.82908099]
[174.75607649],[-27.23808806],[-5.7848796]
[175.24850721],[-27.01986994],[-5.41140903]
[174.54710957],[-25.77966074],[-5.33431597]
[175.12947208],[-26.02795598],[-5.77016174]
[175.81603496],[-25.67662851],[-5.89472589]
[174.65893786],[-24.83646223],[-5.5678741]
[175.27607465],[-25.01015806],[-5.94458755]
[174.38755293],[-24.15790023],[-5.12919278]
[175.19624841],[-25.31584517],[-5.34323336]
[174.19177381],[-23.67466144],[-5.16438583]
[174.1303063],[-23.35969386],[-5.42069354]
[175.25131673],[-24.31649649],[-5.66619059]
[174.94764163],[-24.25182937],[-5.79045311]
[174.9839252],[-22.64185442],[-5.64004291]
[176.09321178],[-26.19145303],[-5.43671254]
[174.60635695],[-23.99326842],[-5.31763307]
[175.11902164],[-23.69388273],[-5.62049061]
[174.28591153],[-23.04193312],[-5.50352649]
[174.84368111],[-25.91815665],[-5.77116756]
[174.27306695],[-25.44649149],[-5.39453399]
[174.16452325],[-26.96666955],[-5.15895221]
[174.3653375],[-26.41625689],[-5.52883949]
[174.20703249],[-26.16931128],[-5.14641943]
[174.37361706],[-26.12638532],[-5.0752761]
[174.26154097],[-26.35716299],[-5.00640729]
[174.65864655],[-22.46314135],[-5.01281261]
[174.67799408],[-23.79059212],[-5.1107002]
[175.648511],[-25.09076349],[-5.04804515]
[175.46880086],[-25.78525278],[-5.15375813]
[174.94727104],[-23.44637589],[-5.34852115]
[175.18209691],[-24.15752264],[-5.33255847]
[175.25356863],[-25.4393728],[-5.20826635]
[175.04538681],[-25.19498232],[-5.26582238]
[176.03014255],[-24.36394266],[-5.16806414]
[175.21084947],[-26.00579661],[-4.71189177]
[174.51413458],[-26.1841924],[-4.60011554]
[174.51324558],[-25.15504055],[-5.10075231]
[175.03476655],[-26.22383543],[-5.08590287]
[174.43094928],[-25.68656564],[-4.52784279]
[173.55248511],[-24.52197652],[-4.5828337]
[173.98978286],[-24.93279932],[-4.51231174]
[175.10962354],[-25.94035982],[-4.87820076]
[174.68108723],[-25.4698807],[-5.10931334]
[176.20469037],[-24.22716809],[-4.80380674]
[174.66079295],[-26.21989988],[-4.38556433]
[175.29215491],[-25.18407015],[-4.80493302]
[174.84279652],[-26.47940649],[-4.39845815]
[175.32405077],[-26.78446448],[-5.12232294]
[175.67289569],[-25.71803859],[-5.12594655]
[175.46233188],[-26.0114913],[-4.73063359]
[174.73030687],[-26.33287159],[-5.1192524]
[175.31524902],[-25.42007044],[-4.74363947]
[176.12392123],[-26.32229163],[-5.21274936]
[175.97926341],[-28.14077004],[-5.0782131]
[174.87507372],[-27.0260198],[-3.84499168]
[175.50057406],[-26.2672965],[-4.71050644]
[174.38189442],[-25.44095359],[-4.86711109]
[175.30875659],[-27.1273629],[-4.3999399]
[174.67986485],[-25.76229596],[-4.50514595]
[175.46393282],[-27.59125927],[-4.22991201]
[176.80468681],[-27.94891791],[-5.08984871]
[177.28342493],[-28.34222776],[-4.76404498]
[177.63712129],[-30.59412215],[-5.13052583]
[177.66499443],[-28.36510338],[-4.88488426]
[178.32516388],[-27.9028537],[-4.65155694]
[175.52562531],[-26.75839479],[-4.74626932]
[-178.19234514],[19.18180534],[172.40078645]
[175.79796992],[-26.75256543],[-4.93067205]
[175.09510783],[-26.33868825],[-4.90698626]
[175.77993053],[-25.61026377],[-5.11697757]
[176.04634547],[-26.2584996],[-4.83808845]
[174.13661155],[-26.00775888],[-4.49998295]
[175.31500066],[-26.18669342],[-4.65122904]
[175.31500066],[-26.18669342],[-4.65122904]
[174.87914773],[-26.37278328],[-4.34940433]
[174.71507203],[-25.71957234],[-4.47158454]
[174.65723955],[-25.78470688],[-5.19132909]
[174.36672646],[-25.95273234],[-4.36503579]
[174.8606696],[-25.61902429],[-4.57414117]
[174.19250867],[-25.24192671],[-5.09481272]
[176.49018878],[-25.44977955],[-5.31204102]
[176.59292228],[-24.84802146],[-4.68298168]
[177.41192221],[-25.09950454],[-5.50446755]
[177.10338246],[-25.5279084],[-4.48241669]
[177.93491821],[-23.99537082],[-4.85972961]
[178.13678061],[-25.04521334],[-4.44433847]
[177.12036154],[-23.30847657],[-4.59325697]
[176.64645859],[-24.82700493],[-5.03865015]
[177.98482162],[-24.52882952],[-4.76170616]
[178.69774881],[-24.88265489],[-4.52916613]
[178.4177471],[-23.28956055],[-4.51145179]
[177.5625257],[-20.27587085],[-4.99419409]
[179.13824794],[-24.41828029],[-4.57866092]
[177.2346463],[-21.87415861],[-4.34159105]
[178.15759955],[-22.92908267],[-4.56606879]
[-179.38993304],[-23.18946168],[-4.8674189]
[178.77468878],[-24.30557024],[-3.94390642]
[179.30077608],[-24.1560456],[-4.25955606]
[178.54489074],[-22.39026842],[-4.29021454]
[179.58652606],[-23.75253693],[-4.7204696]
[178.87779571],[-21.33597027],[-4.80702551]
[178.61688053],[-23.45063964],[-4.41229207]
[178.54765722],[-23.53914135],[-4.7411518]
[177.73818404],[-21.63799217],[-4.51484257]
[179.69226491],[-24.63882675],[-4.47597102]
[179.94863596],[-23.73920294],[-4.23713746]
[178.64482008],[-22.41519555],[-4.31131856]
[-179.97148113],[-24.50118726],[-4.33349441]
[179.12760109],[-24.78408485],[-4.13763969]
[178.80280453],[-24.15075907],[-4.38932686]
[178.87248722],[-23.44529063],[-4.35285763]
[178.71457907],[-24.49774647],[-4.30877615]
[178.73908216],[-23.2954351],[-4.48515873]
[178.91870982],[-23.44535281],[-4.37513297]
[179.46192665],[-23.78382324],[-4.2421764]
[179.61087244],[-24.13553801],[-4.22222946]
[179.23854733],[-22.58556002],[-4.15005007]
[178.66528346],[-21.00798378],[-4.35715691]
[177.59953391],[-23.82739378],[-3.47855333]
[177.55964187],[-22.25459836],[-3.86066743]
[177.85328166],[-21.93215763],[-4.13168552]
