[-163.95139723],[-18.96922541],[-8.15617907]
[-163.85641767],[-18.55582665],[-8.729758]
[-162.31301057],[-18.52030167],[-9.22519728]
[-162.56911698],[-18.76305809],[-9.61585721]
[-165.36691276],[-18.18742645],[-10.02090557]
[-167.16047425],[-16.68122574],[-9.40793227]
[-165.52738453],[-17.07270132],[-10.22660172]
[-166.45370167],[-15.19589626],[-9.26977927]
[-163.7851299],[-13.6624862],[-10.31149807]
[-164.22670867],[-11.95674944],[-9.34555398]
[-163.88808909],[-13.21641748],[-9.88471373]
[-164.011428],[-12.38815382],[-9.07961726]
[-163.62827088],[-12.21575615],[-9.00504233]
[-162.95497541],[-13.11159792],[-8.73154001]
[-163.95260925],[-10.76271448],[-8.71435682]
[-164.7298461],[-14.43776575],[-8.5846789]
[-163.59418672],[-11.59371153],[-7.85963087]
[-164.34448619],[-12.1789987],[-8.17317459]
[-163.49819423],[-12.77642598],[-7.64478848]
[-161.41020572],[-11.1025301],[-7.85891338]
[-163.59929562],[-12.49369468],[-8.38321174]
[-163.77427153],[-12.25991003],[-7.95708048]
[-163.77427153],[-12.25991003],[-7.95708048]
[-163.63569102],[-12.50973479],[-8.42633175]
[-163.63569102],[-12.50973479],[-8.42633175]
[-163.61791043],[-13.78235921],[-8.14454616]
[-164.24658581],[-12.00449047],[-9.38944382]
[-166.27818831],[-11.97778902],[-10.64678302]
[-165.98558869],[-11.9848299],[-11.20666907]
[-165.28559696],[-12.34566774],[-11.46119356]
[-165.27338122],[-10.93770232],[-12.41368237]
[-167.11811708],[-12.83029195],[-13.18304212]
[-164.46290759],[-11.33604438],[-14.59166891]
[-165.9882867],[-11.18719591],[-15.79085433]
[-165.9882867],[-11.18719591],[-15.79085433]
[-166.03748229],[-10.65671557],[-17.82265205]
[-167.25699524],[-11.06544331],[-17.78646395]
[-167.2987051],[-11.90086621],[-17.90820335]
[-166.52249072],[-10.25758458],[-18.01635083]
[-167.37120005],[-10.51480115],[-17.60918232]
[-166.65815442],[-10.02946186],[-17.43596977]
[-166.18045461],[-10.50896258],[-17.52100283]
[-167.66820812],[-10.71206278],[-16.43119434]
[-169.4152126],[-10.66735534],[-15.45684266]
[-169.80061301],[-12.06795204],[-15.92590808]
[-169.89031119],[-12.46119771],[-15.03499159]
[-169.89031119],[-12.46119771],[-15.03499159]
[-170.52069622],[-12.17883672],[-15.1185815]
[-170.59638696],[-12.6780484],[-15.03656921]
[-170.8588521],[-11.66824266],[-15.07365015]
[-169.68295763],[-12.15620509],[-15.51294182]
[-170.15738095],[-10.68368036],[-15.57384152]
[-170.63305768],[-12.81007391],[-15.16265218]
[-170.56899082],[-12.28860288],[-15.24352816]
[-172.49840627],[-13.75707081],[-13.99600197]
[-171.066813],[-13.18836176],[-13.55703831]
[-171.01024895],[-13.53865824],[-13.67855615]
[-168.75715827],[-14.6048641],[-13.18173592]
[-168.75715827],[-14.6048641],[-13.18173592]
[-168.58988381],[-10.58860027],[-12.03437984]
[-169.52376208],[-10.39434141],[-12.31367403]
[-168.29407034],[-11.20549597],[-12.62199546]
[-166.52790649],[-9.34309542],[-12.09859979]
[-163.3388973],[-7.3379902],[-11.55021846]
[-163.51774385],[-13.52880602],[-10.48226836]
[-163.41513296],[-11.8796667],[-10.4738624]
[-163.30411963],[-11.30806998],[-10.24384765]
[-162.98819772],[-12.65354725],[-9.90316421]
[-164.33382658],[-14.88075363],[-9.05302324]
[-165.99127419],[-13.43942111],[-8.66629288]
[-166.35611292],[-12.76691575],[-8.8958584]
[-170.03783545],[-15.07228361],[-7.2458309]
[-170.03783545],[-15.07228361],[-7.2458309]
[-171.09904694],[-15.17115611],[-6.89351005]
[-172.30554244],[-14.70843348],[-6.33779186]
[-171.96982799],[-15.60419672],[-5.79991186]
[-172.86589288],[-17.17940624],[-4.20016494]
[-173.27053605],[-16.5977902],[-4.31227796]
[-173.39837854],[-16.8549263],[-4.10150819]
[-172.20001428],[-17.675843],[-3.05429116]
[-171.13714807],[-17.92816471],[-3.46440823]
[-172.23732368],[-16.42791016],[-2.53513822]
[-172.23732368],[-16.42791016],[-2.53513822]
[-172.25190228],[-16.07174215],[-2.0158352]
[-171.3576442],[-16.00632126],[-2.40106329]
[-174.28401842],[-17.09574669],[-1.78858944]
[-173.69902574],[-16.95261098],[-1.23443875]
[-173.16064199],[-15.96043591],[-1.696868]
[-174.0470137],[-17.33576552],[-1.46167202]
[-174.6053975],[-16.83985048],[-1.6169352]
[-173.93975476],[-16.32468767],[-2.52790742]
[-173.79968947],[-16.82127515],[-2.62391494]
[-173.86922849],[-17.63804621],[-3.57052148]
[-175.87197826],[-16.97967681],[-4.33139378]
[-175.87197826],[-16.97967681],[-4.33139378]
[-176.03468098],[-15.14587431],[-6.30643052]
[-177.01841146],[-15.32001998],[-5.91516964]
[-175.82442758],[-16.01693257],[-6.31639484]
[-176.97930781],[-14.86947057],[-6.55474953]
[-176.03000451],[-18.1056306],[-6.56847467]
[-177.74961881],[-16.40316259],[-6.85372824]
[-177.74961881],[-16.40316259],[-6.85372824]
[-176.78776265],[-17.11624405],[-7.30152406]
[-177.51475117],[-17.97148727],[-7.37182711]
[-177.68823143],[-15.764837],[-7.94568689]
[-177.43144513],[-13.81715788],[-8.44008903]
[-177.43144513],[-13.81715788],[-8.44008903]
[-177.57619466],[-16.30313305],[-9.27012828]
[-176.5918265],[-15.54845238],[-9.58573026]
[-178.10737194],[-15.13395717],[-8.99114388]
[-176.53617291],[-15.78900108],[-8.95129561]
[-175.44887344],[-15.23154554],[-8.56420111]
[-170.34974161],[-36.44082571],[169.47479495]
[-174.85326009],[-18.60055197],[-8.97671577]
[-174.76419925],[-17.27516697],[-8.25836889]
[-175.19787967],[-18.77044063],[-10.28728857]
[-174.72817134],[-17.54091908],[-9.54263865]
[-175.18171557],[-16.73351609],[-8.97801821]
[-175.18171557],[-16.73351609],[-8.97801821]
[-168.06980448],[-39.27133473],[169.6389833]
[-167.88171606],[-39.10384273],[169.7177254]
[-170.21445587],[-21.38036111],[-9.22091166]
[-169.59987713],[-16.08177975],[-10.73463232]
[-172.98164398],[-11.91517398],[-9.17419391]
[-170.9619233],[-12.15678058],[-9.325268]
[-170.74458918],[-10.45023943],[-9.06099726]
[-171.17301197],[-9.52376082],[-8.51551979]
[-171.67345858],[-10.64854054],[-7.48851168]
[-172.08769838],[-12.96177135],[-7.15558617]
[-173.07316613],[-12.75816738],[-6.04148701]
[-172.18000839],[-13.19667669],[-6.46463746]
[-173.24783609],[-12.16234384],[-6.08701156]
[-173.46851037],[-12.13604782],[-6.16167195]
[-171.45418221],[-11.45049282],[-6.15743249]
[-171.68769483],[-13.93241431],[-6.48612926]
[-171.3679766],[-10.72528117],[-5.96462435]
[-171.19604596],[-10.44522731],[-6.18646714]
[-171.19604596],[-10.44522731],[-6.18646714]
[-169.75240175],[-11.08823031],[-5.82348351]
[-169.09527267],[-9.41172465],[-5.98171675]
[-168.69787585],[-10.67531046],[-5.9061078]
[-168.35586547],[-8.84411247],[-5.88516543]
[-168.35586547],[-8.84411247],[-5.88516543]
[-166.53616543],[-10.40890751],[-5.3112668]
[-166.53616543],[-10.40890751],[-5.3112668]
[-163.75520801],[-10.00611503],[-5.50506326]
[-164.09364822],[-8.83892624],[-5.12034555]
[-163.42143167],[-10.83660551],[-5.00316854]
[-163.23128802],[-11.00804378],[-4.22685674]
[-164.37039405],[-11.56278352],[-4.48536422]
[-163.44730909],[-11.09743831],[-4.83392677]
[-162.92816542],[-12.0702133],[-4.10090658]
[-163.332223],[-10.90486641],[-4.20328186]
[-161.48518797],[-10.60445817],[-4.80943173]
[-161.48518797],[-10.60445817],[-4.80943173]
[-163.30227866],[-11.8573922],[-4.219303]
[-163.66073658],[-11.09246193],[-3.79996791]
[-164.26188152],[-10.14802876],[-3.41308694]
[-162.83559981],[-11.41130318],[-3.28959213]
[-164.3264419],[-9.2947483],[-3.05314159]
[-166.18960115],[-9.48595376],[-2.44612547]
[-165.48396554],[-11.4508114],[-2.10809813]
[-165.20780694],[-12.93802142],[-2.68946217]
[-165.2363732],[-11.95207074],[-2.65548351]
[-165.99513454],[-11.50680367],[-2.09731058]
[-165.0767707],[-11.41475589],[-2.80764234]
[-164.76046966],[-11.52160312],[-2.7858926]
[-165.59772178],[-11.49012725],[-3.05863434]
[-164.72666049],[-11.46551702],[-3.41146053]
[-165.03740037],[-8.25668275],[-3.48840383]
[-165.3976734],[-10.14325581],[-3.59739823]
[-165.51385694],[-9.82086329],[-3.42999692]
[-164.41835044],[-12.2768126],[-3.97643421]
[-164.51130809],[-11.28972608],[-3.96568998]
[-165.04049321],[-11.08951327],[-4.11880784]
[-164.89381704],[-12.18772645],[-4.08792445]
[-163.51441102],[-12.44231883],[-4.15841855]
[-165.47665016],[-11.74450561],[-4.45223304]
[-165.47665016],[-11.74450561],[-4.45223304]
[-164.43897123],[-13.91714825],[-4.45424559]
[-165.06412551],[-12.6779579],[-4.58719001]
[-166.11051841],[-14.59510555],[-4.43431559]
[-166.30126389],[-13.42038159],[-3.82452914]
[-164.63918288],[-15.66140361],[-4.04393978]
[-164.26361117],[-16.79553763],[-2.63653305]
[-164.71799135],[-15.93209699],[-2.80669485]
[-165.86526577],[-17.10527464],[-2.59641673]
[-165.01637089],[-20.31696813],[-1.89590818]
[-164.40001229],[-15.10149382],[-4.43449243]
[-165.9688428],[-13.97701456],[-4.56519506]
[-164.9666943],[-13.64236583],[-4.7782846]
[-167.16957407],[-14.12514945],[-5.37689261]
